MacroTrends Data Download,,,
Dow Jones - 100 Year Historical Chart,,,
Note: Real datasets are adjusted for inflation using the headline Consumer Price Index (CPI) with the current month as the base.,,,
"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice.",,,
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, ",,,
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable",,,
for any damages relating to your use of the data provided.,,,
,,,
series_id,date,real,nominal
DJIA,1/1/18,1406,79.8
DJIA,2/1/18,1406.34,80.39
DJIA,3/1/18,1346.27,76.41
DJIA,4/1/18,1346.43,77.51
DJIA,5/1/18,1328.22,78.08
DJIA,6/1/18,1385.69,82.58
DJIA,7/1/18,1326.89,81.23
DJIA,8/1/18,1320.76,82.46
DJIA,9/1/18,1330.41,84.68
DJIA,10/1/18,1318.22,85.51
DJIA,11/1/18,1224.71,80.93
DJIA,12/1/18,1228.81,82.2
DJIA,1/1/19,1205.04,80.61
DJIA,2/1/19,1291.32,84.81
DJIA,3/1/19,1336.3,88.85
DJIA,4/1/19,1371.84,92.88
DJIA,5/1/19,1539.77,105.5
DJIA,6/1/19,1561.37,106.98
DJIA,7/1/19,1519.1,107.16
DJIA,8/1/19,1459.8,104.75
DJIA,9/1/19,1543.95,111.42
DJIA,10/1/19,1620.64,118.92
DJIA,11/1/19,1382.9,103.72
DJIA,12/1/19,1399.46,107.23
DJIA,1/1/20,1331.8,104.21
DJIA,2/1/20,1153.34,91.18
DJIA,3/1/20,1287.28,102.81
DJIA,4/1/20,1136.6,93.54
DJIA,5/1/20,1099.33,91.81
DJIA,6/1/20,1071.15,90.76
DJIA,7/1/20,1029.95,86.85
DJIA,8/1/20,1046.93,86.16
DJIA,9/1/20,1023.02,82.95
DJIA,10/1/20,1054.57,85.08
DJIA,11/1/20,947.31,76.04
DJIA,12/1/20,914.84,71.95
DJIA,1/1/21,988.32,76.13
DJIA,2/1/21,1005.18,74.98
DJIA,3/1/21,1021.17,75.76
DJIA,4/1/21,1070.75,78.57
DJIA,5/1/21,1023.46,73.44
DJIA,6/1/21,959.33,68.45
DJIA,7/1/21,952.8,68.37
DJIA,8/1/21,935.24,67.11
DJIA,9/1/21,1001.87,71.08
DJIA,10/1/21,1031.89,73.21
