MacroTrends Data Download,,,
S&amp;P 500 Index - 90 Year Historical Chart,,,
Note: Real datasets are adjusted for inflation using the headline Consumer Price Index (CPI) with the current month as the base.,,,
"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice.",,,
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, ",,,
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable",,,
for any damages relating to your use of the data provided.,,,
,,,
series_id,date,real,nominal
SP500,,251.8,17.66
SP500,1/1/28,250.51,17.57
SP500,2/1/28,248.98,17.26
SP500,3/1/28,278.11,19.28
SP500,4/1/28,284.89,19.75
SP500,5/1/28,286.82,20
SP500,6/1/28,276.09,19.14
SP500,7/1/28,280.28,19.43
SP500,8/1/28,301.05,20.87
SP500,9/1/28,301.41,21.14
SP500,10/1/28,310.91,21.68
SP500,11/1/28,348.2,24.28
SP500,12/1/28,351.25,24.35
SP500,1/1/29,371.3,25.74
SP500,2/1/29,369.14,25.59
SP500,3/1/29,370.44,25.53
SP500,4/1/29,378.59,25.94
SP500,5/1/29,360.28,24.83
SP500,6/1/29,395.39,27.41
SP500,7/1/29,411.77,28.88
SP500,8/1/29,452.12,31.71
SP500,9/1/29,430.02,30.16
SP500,10/1/29,344.33,24.15
SP500,11/1/29,298.28,20.92
SP500,12/1/29,307.61,21.45
SP500,1/1/30,328.75,22.79
SP500,2/1/30,337.79,23.28
SP500,3/1/30,352.47,24.15
SP500,4/1/30,361.3,24.9
SP500,5/1/30,357.43,24.49
SP500,6/1/30,300.39,20.46
SP500,7/1/30,315.16,21.21
SP500,8/1/30,319.46,21.37
SP500,9/1/30,276.23,18.59
SP500,10/1/30,253.24,16.94
SP500,11/1/30,249.21,16.57
SP500,12/1/30,235.02,15.34
SP500,1/1/31,249.6,16.09
SP500,2/1/31,281.7,17.93
SP500,3/1/31,263.9,16.69
SP500,4/1/31,240.14,15.09
SP500,5/1/31,209.91,13.02
SP500,6/1/31,242.25,14.83
SP500,7/1/31,224.28,13.73
SP500,8/1/31,226.4,13.86
SP500,9/1/31,159.67,9.71
SP500,10/1/31,174.32,10.53
SP500,11/1/31,159.41,9.5
SP500,12/1/31,137.19,8.12
SP500,1/1/32,136.09,7.89
SP500,2/1/32,145.03,8.29
SP500,3/1/32,128.79,7.31
SP500,4/1/32,103.46,5.83
SP500,5/1/32,80.48,4.47
SP500,6/1/32,80.35,4.43
SP500,7/1/32,110.64,6.1
SP500,8/1/32,153.29,8.39
SP500,9/1/32,148.74,8.08
SP500,10/1/32,129.08,6.96
SP500,11/1/32,122.4,6.55
SP500,12/1/32,129.73,6.89
SP500,1/1/33,132.7,6.94
SP500,2/1/33,109.93,5.66
SP500,3/1/33,114.52,5.85
SP500,4/1/33,162.87,8.32
SP500,5/1/33,188.71,9.64
SP500,6/1/33,211.89,10.91
SP500,7/1/33,187.35,9.95
SP500,8/1/33,207.24,11.09
SP500,9/1/33,183.69,9.83
SP500,10/1/33,167.44,8.96
SP500,11/1/33,184.63,9.88
SP500,12/1/33,188.74,10.1
SP500,1/1/34,208.73,11.17
SP500,2/1/34,199.55,10.76
SP500,3/1/34,199.37,10.75
SP500,4/1/34,193.99,10.46
SP500,5/1/34,178.23,9.61
SP500,6/1/34,180.58,9.81
SP500,7/1/34,159.78,8.68
SP500,8/1/34,168.43,9.15
SP500,9/1/34,165.05,9.1
SP500,10/1/34,160.97,8.81
SP500,11/1/34,174.31,9.54
SP500,12/1/34,174.88,9.5
SP500,1/1/35,165.05,9.1
SP500,2/1/35,157.36,8.74
SP500,3/1/35,152.5,8.47
SP500,4/1/35,165.87,9.28
SP500,5/1/35,171.23,9.58
SP500,6/1/35,184.19,10.23
SP500,7/1/35,199.5,11.08
SP500,8/1/35,203.82,11.32
SP500,9/1/35,208.68,11.59
SP500,10/1/35,224.34,12.46
SP500,11/1/35,231.47,12.95
SP500,12/1/35,240.05,13.43
SP500,1/1/36,255.78,14.31
SP500,2/1/36,260.07,14.55
SP500,3/1/36,268.63,14.92
SP500,4/1/36,247.93,13.77
SP500,5/1/36,259.27,14.4
SP500,6/1/36,265.25,14.84
SP500,7/1/36,281.27,15.85
SP500,8/1/36,281.73,15.99
SP500,9/1/36,282.08,16.01
SP500,10/1/36,303.22,17.21
SP500,11/1/36,304.46,17.28
SP500,12/1/36,302.69,17.18
SP500,1/1/37,311.92,17.83
SP500,2/1/37,316.47,18.09
SP500,3/1/37,311.29,17.92
SP500,4/1/37,283.4,16.43
SP500,5/1/37,278.52,16.26
SP500,6/1/37,263.79,15.4
SP500,7/1/37,288.85,16.98
SP500,8/1/37,272.86,16.04
SP500,9/1/37,232.48,13.76
SP500,10/1/37,208.82,12.36
SP500,11/1/37,188.99,11.11
SP500,12/1/37,180.71,10.55
SP500,1/1/38,185.7,10.69
SP500,2/1/38,198.38,11.34
SP500,3/1/38,148.7,8.5
SP500,4/1/38,168.5,9.7
SP500,5/1/38,162.17,9.27
SP500,6/1/38,202.23,11.56
SP500,7/1/38,216.93,12.4
SP500,8/1/38,210.98,12.06
SP500,9/1/38,214.13,12.24
SP500,10/1/38,232.04,13.17
SP500,11/1/38,224.29,12.73
SP500,12/1/38,232.75,13.21
SP500,1/1/39,216.71,12.3
SP500,2/1/39,225.37,12.7
SP500,3/1/39,194.85,10.98
SP500,4/1/39,195.18,10.92
SP500,5/1/39,207.34,11.6
SP500,6/1/39,194.11,10.86
SP500,7/1/39,215.2,12.04
SP500,8/1/39,199.83,11.18
SP500,9/1/39,227.77,13.02
SP500,10/1/39,226.05,12.83
SP500,11/1/39,214.95,12.2
SP500,12/1/39,220.06,12.49
SP500,1/1/40,213.84,12.05
SP500,2/1/40,213.72,12.13
SP500,3/1/40,215.83,12.25
SP500,4/1/40,214.78,12.19
SP500,5/1/40,163.33,9.27
SP500,6/1/40,174.59,9.98
SP500,7/1/40,181.3,10.29
SP500,8/1/40,186.06,10.56
SP500,9/1/40,187.82,10.66
SP500,10/1/40,195.22,11.08
SP500,11/1/40,186.94,10.61
SP500,12/1/40,185.09,10.58
SP500,1/1/41,176.16,10.07
SP500,2/1/41,173.54,9.92
SP500,3/1/41,173.02,9.96
SP500,4/1/41,160.59,9.31
SP500,5/1/41,160.16,9.35
SP500,6/1/41,165.28,9.85
SP500,7/1/41,174.34,10.39
SP500,8/1/41,170.52,10.3
SP500,9/1/41,166.62,10.2
SP500,10/1/41,153.16,9.5
SP500,11/1/41,145.75,9.1
SP500,12/1/41,138.29,8.69
SP500,1/1/42,138.41,8.81
SP500,2/1/42,134.11,8.59
SP500,3/1/42,123.48,8.01
SP500,4/1/42,117.36,7.66
SP500,5/1/42,123.33,8.15
SP500,6/1/42,125.6,8.3
SP500,7/1/42,128.74,8.56
SP500,8/1/42,128.86,8.62
SP500,9/1/42,132.3,8.85
SP500,10/1/42,139.13,9.42
SP500,11/1/42,136.4,9.29
SP500,12/1/42,142.59,9.77
SP500,1/1/43,152.81,10.47
SP500,2/1/43,160.55,11
SP500,3/1/43,166.07,11.58
SP500,4/1/43,164.3,11.59
SP500,5/1/43,170.69,12.11
SP500,6/1/43,174.07,12.35
SP500,7/1/43,165.58,11.68
SP500,8/1/43,168.24,11.8
SP500,9/1/43,171.25,12.08
SP500,10/1/43,168.98,11.92
SP500,11/1/43,156.22,11.02
SP500,12/1/43,165.43,11.67
SP500,1/1/44,167.99,11.85
SP500,2/1/44,167.56,11.82
SP500,3/1/44,170.4,12.02
SP500,4/1/44,167.31,11.87
SP500,5/1/44,174.07,12.35
SP500,6/1/44,181.91,12.98
SP500,7/1/44,177.13,12.71
SP500,8/1/44,178.66,12.82
SP500,9/1/44,178.1,12.78
SP500,10/1/44,178.1,12.78
SP500,11/1/44,178.8,12.83
SP500,12/1/44,184.02,13.28
SP500,1/1/45,186.65,13.47
SP500,2/1/45,198.16,14.3
SP500,3/1/45,189.01,13.64
SP500,4/1/45,205.64,14.84
SP500,5/1/45,206.84,15.01
SP500,6/1/45,203.87,14.96
SP500,7/1/45,199.79,14.66
SP500,8/1/45,211.37,15.51
SP500,9/1/45,220.23,16.16
SP500,10/1/45,226.91,16.65
SP500,11/1/45,234.27,17.19
SP500,12/1/45,235.28,17.36
SP500,1/1/46,251.68,18.57
SP500,2/1/46,235.49,17.28
SP500,3/1/46,243.7,18.08
SP500,4/1/46,251.5,18.76
SP500,5/1/46,255.73,19.18
SP500,6/1/46,243.11,18.43
SP500,7/1/46,223.75,17.96
SP500,8/1/46,203.31,16.65
SP500,9/1/46,180.88,14.96
SP500,10/1/46,175.99,14.84
SP500,11/1/46,169.88,14.67
SP500,12/1/46,175.54,15.3
SP500,1/1/47,179.67,15.66
SP500,2/1/47,177.03,15.43
SP500,3/1/47,170.86,15.17
SP500,4/1/47,164.21,14.58
SP500,5/1/47,162.75,14.45
SP500,6/1/47,170.53,15.21
SP500,7/1/47,175.11,15.76
SP500,8/1/47,167.95,15.32
