Macrotrends Data Download

S&amp;P 500 PE Ratio - 90 Year Historical Chart

Disclaimer and Terms of Use: Historical data is provided "as is" and solely
for informational purposes - not for trading purposes or advice.
Neither MacroTrends LLC nor any of our information providers will be liable
for any damages relating to your use of the data provided.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1927-12-01,15.9099
1928-01-01,14.8898
1928-02-01,14.6271
1928-03-01,16.3390
1928-04-01,15.8000
1928-05-01,16.0000
1928-06-01,15.3120
1928-07-01,14.8321
1928-08-01,15.9313
1928-09-01,16.1374
1928-10-01,15.7101
1928-11-01,17.5942
1928-12-01,17.6449
1929-01-01,17.8750
1929-02-01,17.7708
1929-03-01,17.7292
1929-04-01,17.2933
1929-05-01,16.5533
1929-06-01,18.2733
1929-07-01,18.6323
1929-08-01,20.4581
1929-09-01,19.4581
1929-10-01,15.0000
1929-11-01,12.9938
1929-12-01,13.3230
1930-01-01,15.7172
1930-02-01,16.0552
1930-03-01,16.6552
1930-04-01,19.3023
1930-05-01,18.9845
1930-06-01,15.8605
1930-07-01,18.7699
1930-08-01,18.9115
1930-09-01,16.4513
1930-10-01,17.4639
1930-11-01,17.0825
1930-12-01,15.8144
1931-01-01,18.2841
1931-02-01,20.3750
1931-03-01,18.9659
1931-04-01,19.1013
1931-05-01,16.4810
1931-06-01,18.7722
1931-07-01,19.6143
1931-08-01,19.8000
1931-09-01,13.8714
1931-10-01,17.2623
1931-11-01,15.5738
1931-12-01,13.3115
1932-01-01,14.0893
1932-02-01,14.8036
1932-03-01,13.0536
1932-04-01,11.4314
1932-05-01,8.7647
1932-06-01,8.6863
1932-07-01,13.2609
1932-08-01,18.2391
1932-09-01,17.5652
1932-10-01,16.9756
1932-11-01,15.9756
1932-12-01,16.8049
1933-01-01,16.5238
1933-02-01,13.4762
1933-03-01,13.9286
1933-04-01,19.3488
1933-05-01,22.4186
1933-06-01,25.3721
1933-07-01,23.1395
1933-08-01,25.7907
1933-09-01,22.8605
1933-10-01,20.3636
1933-11-01,22.4545
1933-12-01,22.9545
1934-01-01,24.8222
1934-02-01,23.9111
1934-03-01,23.8889
1934-04-01,22.2553
1934-05-01,20.4468
1934-06-01,20.8723
1934-07-01,18.0833
1934-08-01,19.0625
1934-09-01,18.9583
1934-10-01,17.9796
1934-11-01,19.4694
1934-12-01,19.3878
1935-01-01,12.4658
1935-02-01,11.9726
1935-03-01,11.6027
1935-04-01,11.4568
1935-05-01,11.8272
1935-06-01,12.6296
1935-07-01,14.5789
1935-08-01,14.8947
1935-09-01,15.2500
1935-10-01,16.3947
1935-11-01,17.0395
1935-12-01,17.6711
1936-01-01,18.1139
1936-02-01,18.4177
1936-03-01,18.8861
1936-04-01,15.6477
1936-05-01,16.3636
1936-06-01,16.8636
1936-07-01,16.8617
1936-08-01,17.0106
1936-09-01,17.0319
1936-10-01,16.8725
1936-11-01,16.9412
1936-12-01,16.8431
1937-01-01,16.0631
1937-02-01,16.2973
1937-03-01,16.1441
1937-04-01,14.0427
1937-05-01,13.8974
1937-06-01,13.1624
1937-07-01,13.9180
1937-08-01,13.1475
1937-09-01,11.2787
1937-10-01,10.9381
1937-11-01,9.8319
1937-12-01,9.3363
1938-01-01,11.0206
1938-02-01,11.6907
1938-03-01,8.7629
1938-04-01,12.5974
1938-05-01,12.0390
1938-06-01,15.0130
1938-07-01,20.0000
1938-08-01,19.4516
1938-09-01,19.7419
1938-10-01,20.5781
1938-11-01,19.8906
1938-12-01,20.6406
1939-01-01,17.3239
1939-02-01,17.8873
1939-03-01,15.4648
1939-04-01,14.3684
1939-05-01,15.2632
1939-06-01,14.2895
1939-07-01,14.8642
1939-08-01,13.8025
1939-09-01,16.0741
1939-10-01,14.2556
1939-11-01,13.5556
1939-12-01,13.8778
1940-01-01,12.1717
1940-02-01,12.2525
1940-03-01,12.3737
1940-04-01,11.7212
1940-05-01,8.9135
1940-06-01,9.5962
1940-07-01,9.5278
1940-08-01,9.7778
1940-09-01,9.8704
1940-10-01,10.5524
1940-11-01,10.1048
1940-12-01,10.0762
1941-01-01,9.5000
1941-02-01,9.3585
1941-03-01,9.3962
1941-04-01,8.5413
1941-05-01,8.5780
1941-06-01,9.0367
1941-07-01,8.7311
1941-08-01,8.6555
1941-09-01,8.5714
1941-10-01,8.1897
1941-11-01,7.8448
1941-12-01,7.4914
1942-01-01,8.4712
1942-02-01,8.2596
1942-03-01,7.7019
1942-04-01,7.8163
1942-05-01,8.3163
1942-06-01,8.4694
1942-07-01,9.1064
1942-08-01,9.1702
1942-09-01,9.4149
1942-10-01,9.1456
1942-11-01,9.0194
1942-12-01,9.4854
1943-01-01,9.7850
1943-02-01,10.2804
1943-03-01,10.8224
1943-04-01,10.5364
1943-05-01,11.0091
1943-06-01,11.2273
1943-07-01,10.8148
1943-08-01,10.9259
1943-09-01,11.1852
1943-10-01,12.6809
1943-11-01,11.7234
1943-12-01,12.4149
1944-01-01,12.7419
1944-02-01,12.7097
1944-03-01,12.9247
1944-04-01,12.9022
1944-05-01,13.4239
1944-06-01,14.1087
1944-07-01,14.1222
1944-08-01,14.2444
1944-09-01,14.2000
1944-10-01,13.7419
1944-11-01,13.7957
1944-12-01,14.2796
1945-01-01,14.0313
1945-02-01,14.8958
1945-03-01,14.2083
1945-04-01,14.8400
1945-05-01,15.0100
1945-06-01,14.9600
1945-07-01,14.8081
1945-08-01,15.6667
1945-09-01,16.3232
1945-10-01,17.3438
1945-11-01,17.9063
1945-12-01,18.0833
1946-01-01,20.6333
1946-02-01,19.2000
1946-03-01,20.0889
1946-04-01,22.3333
1946-05-01,22.8333
1946-06-01,21.9405
1946-07-01,20.1798
1946-08-01,18.7079
1946-09-01,16.8090
1946-10-01,14.0000
1946-11-01,13.8396
1946-12-01,14.4340
1947-01-01,12.3307
1947-02-01,12.1496
1947-03-01,11.9449
1947-04-01,10.1250
1947-05-01,10.0347
1947-06-01,10.5625
1947-07-01,10.1677
1947-08-01,9.8839
1947-09-01,9.7484
1947-10-01,9.5839
1947-11-01,9.3106
1947-12-01,9.5031
1948-01-01,8.5906
1948-02-01,8.1871
1948-03-01,8.8187
1948-04-01,8.3226
1948-05-01,8.9731
1948-06-01,9.0000
1948-07-01,7.6570
1948-08-01,7.7150
1948-09-01,7.4831
1948-10-01,7.2227
1948-11-01,6.4410
1948-12-01,6.6376
1949-01-01,6.3950
1949-02-01,6.1429
1949-03-01,6.3277
1949-04-01,6.1417
1949-05-01,5.9125
1949-06-01,5.9000
1949-07-01,6.2929
1949-08-01,6.3682
1949-09-01,6.5188
1949-10-01,6.9138
1949-11-01,6.9224
1949-12-01,7.2241
1950-01-01,7.1941
1950-02-01,7.2658
1950-03-01,7.2954
1950-04-01,7.1142
1950-05-01,7.3937
1950-06-01,6.9646
1950-07-01,6.5588
1950-08-01,6.7721
1950-09-01,7.1507
1950-10-01,6.8768
1950-11-01,6.8697
1950-12-01,7.1866
1951-01-01,7.6537
1951-02-01,7.7032
1951-03-01,7.5618
1951-04-01,8.2463
1951-05-01,7.9118
1951-06-01,7.7059
1951-07-01,8.9243
1951-08-01,9.2749
