Macrotrends Data Download

S&amp;P 500 YTD Performance

Disclaimer and Terms of Use: Historical data is provided "as is" and solely
for informational purposes - not for trading purposes or advice.
Neither MacroTrends LLC nor any of our information providers will be liable
for any damages relating to your use of the data provided.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
2017-01-03,0.84865756
2017-01-04,1.42574470
2017-01-05,1.34757887
2017-01-06,1.70401504
2017-01-09,1.34311225
2017-01-10,1.34311225
2017-01-11,1.62986917
2017-01-12,1.41189818
2017-01-13,1.59949617
2017-01-17,1.29799940
2017-01-18,1.47666415
2017-01-19,1.11040142
2017-01-20,1.45075776
2017-01-23,1.17784736
2017-01-24,1.84203356
2017-01-25,2.65942479
2017-01-26,2.58393893
2017-01-27,2.49505322
2017-01-30,1.87910650
2017-01-31,1.78843414
2017-02-01,1.81880714
2017-02-02,1.87687319
2017-02-03,2.61699191
2017-02-06,2.39991424
2017-02-07,2.42314066
2017-02-08,2.49415990
2017-02-09,3.08375357
2017-02-10,3.45135629
2017-02-13,3.99405046
2017-02-14,4.41078599
2017-02-15,4.93204040
2017-02-16,4.84136804
2017-02-17,5.01735281
2017-02-21,5.65250600
2017-02-22,5.53816056
2017-02-23,5.58238008
2017-02-24,5.74005172
2017-02-27,5.84769723
2017-02-28,5.57478683
2017-03-01,7.01839800
2017-03-02,6.39128473
2017-03-03,6.44488416
2017-03-06,6.09604124
2017-03-07,5.78695122
2017-03-08,5.54530715
2017-03-09,5.62972624
2017-03-10,5.97499587
2017-03-13,6.01385545
2017-03-14,5.65563263
2017-03-15,6.54046980
2017-03-16,6.36716499
2017-03-17,6.22735983
2017-03-20,6.01385545
2017-03-21,4.69843624
2017-03-22,4.89630745
2017-03-23,4.78508864
2017-03-24,4.69664959
2017-03-27,4.58989740
2017-03-28,5.34832926
2017-03-29,5.46267470
2017-03-30,5.77221138
2017-03-31,5.53369394
2017-04-03,5.36038913
2017-04-04,5.41934850
2017-04-05,5.09730529
2017-04-06,5.30008978
2017-04-07,5.21299071
2017-04-10,5.28534994
2017-04-11,5.13437822
2017-04-12,4.73908247
2017-04-13,4.02531679
2017-04-17,4.92132051
2017-04-18,4.61669711
2017-04-19,4.43713904
2017-04-20,5.22639057
2017-04-21,4.90702733
2017-04-24,6.04422846
2017-04-25,6.69010153
2017-04-26,6.63828875
2017-04-27,6.69724812
2017-04-28,6.49312364
2017-05-01,6.67759499
2017-05-02,6.80444697
2017-05-03,6.66866176
2017-05-04,6.73074776
2017-05-05,7.16713641
2017-05-08,7.17115636
2017-05-09,7.06127754
2017-05-10,7.18232291
2017-05-11,6.95050540
2017-05-12,6.79238710
2017-05-15,7.30247495
2017-05-16,7.22877574
2017-05-17,5.27954333
2017-05-18,5.66769250
2017-05-19,6.38279816
2017-05-22,6.93174560
2017-05-23,7.12827682
2017-05-24,7.39493396
2017-05-25,7.87196884
2017-05-26,7.90546848
2017-05-30,7.77548988
2017-05-31,7.72591041
2017-06-01,8.54151499
2017-06-02,8.94395733
2017-06-05,8.81129876
2017-06-06,8.50890867
2017-06-07,8.67908684
2017-06-08,8.70811987
2017-06-09,8.61789417
2017-06-12,8.51158864
2017-06-13,9.00113005
2017-06-14,8.89259122
2017-06-15,8.64871384
2017-06-16,8.67953351
2017-06-19,9.58670377
2017-06-20,8.85283831
2017-06-21,8.78941233
2017-06-22,8.73983286
2017-06-23,8.90956437
2017-06-26,8.94395733
2017-06-27,8.06448011
2017-06-28,9.01631656
2017-06-29,8.07877329
2017-06-30,8.24448484
2017-07-03,8.49461549
2017-07-05,8.65228713
2017-07-06,7.63434472
2017-07-07,8.32354399
2017-07-10,8.42404292
2017-07-11,8.33917716
2017-07-12,9.13066200
2017-07-13,9.33523314
2017-07-14,9.84621432
2017-07-17,9.84040771
2017-07-18,9.90606701
2017-07-19,10.49655400
2017-07-20,10.47958085
2017-07-21,10.43893462
2017-07-24,10.32146255
2017-07-25,10.64395242
2017-07-26,10.67521875
2017-07-27,10.56757324
2017-07-28,10.41928150
2017-07-31,10.33888236
2017-08-01,10.60911280
2017-08-02,10.66360554
2017-08-03,10.42196147
2017-08-04,10.63055257
2017-08-07,10.81279061
2017-08-08,10.54524015
2017-08-09,10.50504058
2017-08-10,8.90554441
2017-08-11,9.04445626
2017-08-14,10.13967117
2017-08-15,10.08473176
2017-08-16,10.24106341
2017-08-17,8.53928168
2017-08-18,8.34007048
2017-08-21,8.46602913
2017-08-22,9.54427089
2017-08-23,9.16594829
2017-08-24,8.93949072
2017-08-25,9.12172876
2017-08-28,9.17488152
2017-08-29,9.26689387
2017-08-30,9.77117512
2017-08-31,10.39918172
2017-09-01,10.61804603
2017-09-05,9.78278833
2017-09-06,10.12627131
2017-09-07,10.10661819
2017-09-08,9.94269328
2017-09-11,11.13438716
2017-09-12,11.50824314
2017-09-13,11.59266224
2017-09-14,11.46983022
2017-09-15,11.67574135
2017-09-18,11.83832627
2017-09-19,11.96249827
2017-09-20,12.03351751
2017-09-21,11.69226784
2017-09-22,11.76462706
2017-09-25,11.51628306
2017-09-26,11.52432297
2017-09-27,11.97991808
2017-09-28,12.11480997
2017-09-29,12.53020551
2017-10-02,12.96614750
2017-10-03,13.21002488
2017-10-04,13.35117003
2017-10-05,13.99123649
2017-10-06,13.86885114
2017-10-09,13.66338668
2017-10-10,13.92736385
2017-10-11,14.13282831
2017-10-12,13.94031704
2017-10-13,14.04036930
2017-10-16,14.24002716
2017-10-17,14.31685300
2017-10-18,14.40171875
2017-10-19,14.43923835
2017-10-20,15.02481207
2017-10-23,14.56787697
2017-10-24,14.75324165
2017-10-25,14.21814073
2017-10-26,14.36330583
2017-10-27,15.28655592
2017-10-30,14.91850654
2017-10-31,15.02704538
2017-11-01,15.21017674
2017-11-02,15.23206318
2017-11-03,15.58894601
2017-11-06,15.73589777
2017-11-07,15.71401134
2017-11-08,15.88106288
2017-11-09,15.44512089
2017-11-10,15.34149533
2017-11-13,15.45494745
2017-11-14,15.18829031
2017-11-15,14.55179714
2017-11-16,15.49068040
2017-11-17,15.18739699
2017-11-20,15.33434874
2017-11-21,16.08876065
2017-11-22,16.00166158
2017-11-24,16.24017902
2017-11-27,16.19551283
2017-11-28,17.33986055
2017-11-29,17.29653435
2017-11-30,18.25730404
2017-12-01,17.22953507
