"MacroTrends Data Download"
"Crude Oil Prices - 70 Year Historical Chart"
"Note: Real datasets are adjusted for inflation using the headline Consumer Price Index (CPI) with the current month as the base."

"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


series_id,date,real,nominal
DCOILWTICO,1946-01-01,15.86,1.170
DCOILWTICO,1946-02-01,15.94,1.170
DCOILWTICO,1946-03-01,15.77,1.170
DCOILWTICO,1946-04-01,17.03,1.270
DCOILWTICO,1946-05-01,16.93,1.270
DCOILWTICO,1946-06-01,16.75,1.270
DCOILWTICO,1946-07-01,15.82,1.270
DCOILWTICO,1946-08-01,18.56,1.520
DCOILWTICO,1946-09-01,18.38,1.520
DCOILWTICO,1946-10-01,18.03,1.520
DCOILWTICO,1946-11-01,17.60,1.520
DCOILWTICO,1946-12-01,18.59,1.620
DCOILWTICO,1947-01-01,18.59,1.620
DCOILWTICO,1947-02-01,18.59,1.620
DCOILWTICO,1947-03-01,18.25,1.620
DCOILWTICO,1947-04-01,21.06,1.870
DCOILWTICO,1947-05-01,21.06,1.870
DCOILWTICO,1947-06-01,20.97,1.870
DCOILWTICO,1947-07-01,20.78,1.870
DCOILWTICO,1947-08-01,20.50,1.870
DCOILWTICO,1947-09-01,20.05,1.870
DCOILWTICO,1947-10-01,20.05,1.870
DCOILWTICO,1947-11-01,22.10,2.070
DCOILWTICO,1947-12-01,21.82,2.070
DCOILWTICO,1948-01-01,26.75,2.570
DCOILWTICO,1948-02-01,26.97,2.570
DCOILWTICO,1948-03-01,27.09,2.570
DCOILWTICO,1948-04-01,26.64,2.570
DCOILWTICO,1948-05-01,26.52,2.570
DCOILWTICO,1948-06-01,26.30,2.570
DCOILWTICO,1948-07-01,25.98,2.570
DCOILWTICO,1948-08-01,25.87,2.570
DCOILWTICO,1948-09-01,25.87,2.570
DCOILWTICO,1948-10-01,25.98,2.570
DCOILWTICO,1948-11-01,26.20,2.570
DCOILWTICO,1948-12-01,26.30,2.570
DCOILWTICO,1949-01-01,26.41,2.570
DCOILWTICO,1949-02-01,26.64,2.570
DCOILWTICO,1949-03-01,26.64,2.570
DCOILWTICO,1949-04-01,26.52,2.570
DCOILWTICO,1949-05-01,26.64,2.570
DCOILWTICO,1949-06-01,26.52,2.570
DCOILWTICO,1949-07-01,26.75,2.570
DCOILWTICO,1949-08-01,26.64,2.570
DCOILWTICO,1949-09-01,26.52,2.570
DCOILWTICO,1949-10-01,26.75,2.570
DCOILWTICO,1949-11-01,26.64,2.570
DCOILWTICO,1949-12-01,26.86,2.570
DCOILWTICO,1950-01-01,26.97,2.570
DCOILWTICO,1950-02-01,26.97,2.570
DCOILWTICO,1950-03-01,26.86,2.570
DCOILWTICO,1950-04-01,26.86,2.570
DCOILWTICO,1950-05-01,26.75,2.570
DCOILWTICO,1950-06-01,26.64,2.570
DCOILWTICO,1950-07-01,26.30,2.570
DCOILWTICO,1950-08-01,26.09,2.570
DCOILWTICO,1950-09-01,25.98,2.570
DCOILWTICO,1950-10-01,25.77,2.570
DCOILWTICO,1950-11-01,25.66,2.570
DCOILWTICO,1950-12-01,25.36,2.570
DCOILWTICO,1951-01-01,24.96,2.570
DCOILWTICO,1951-02-01,24.67,2.570
DCOILWTICO,1951-03-01,24.57,2.570
DCOILWTICO,1951-04-01,24.57,2.570
DCOILWTICO,1951-05-01,24.48,2.570
DCOILWTICO,1951-06-01,24.48,2.570
