Key,SP,SPn,PE,DJ,DJn,Gold,Goldn,Oil,Oiln,Libor,SPYTD
09-12,1273.44,1115.1,21.8776,11908.83,10428.05,1241.93,1087.5,90.66,79.39,20.99,0
93-03,775.97,451.67,22.7656,5901.52,3435.11,567.37,330.25,35.12,20.44,82.88999999999999,0
09-10,1182.29,1036.19,20.3294,11082.22,9712.73,1186.64,1040.0,87.9,77.04,27.009999999999994,0
10-03,1324.96,1169.43,19.193,12300.56,10856.63,1263.86,1115.5,94.55,83.45,20.080000000000002,0
09-11,1249.02,1095.63,21.4956,11793.12,10344.84,1340.36,1175.75,88.0,77.19,22.780000000000005,0
31-08,226.4,13.86,19.8,2277.26,139.41,369.01,22.59,0,0,0,0
31-09,159.67,9.71,13.8714,1588.65,96.61,371.47,22.59,0,0,0,0
76-03,453.52,102.77,11.8672,4410.57,999.45,584.77,132.51,53.4,12.1,0,0
76-02,440.72,99.71,11.5139,4298.94,972.61,579.64,131.14,53.17,12.03,0,0
76-05,437.39,100.18,10.8303,4257.85,975.23,554.0,126.89,53.13,12.17,0,0
76-04,446.91,101.64,10.9881,4383.15,996.85,562.46,127.92,53.51,12.17,0,0
76-07,446.86,103.44,10.8314,4253.64,984.64,507.64,117.51,52.57,12.17,0,0
76-06,452.89,104.28,11.2735,4355.07,1002.78,545.57,125.62,52.85,12.17,0,0
76-09,450.64,105.24,11.0199,4239.99,990.19,489.78,114.38,59.52,13.9,0,0
31-01,249.6,16.09,18.2841,2599.2,167.55,350.44,22.59,0,0,0,0
31-02,281.7,17.93,20.375,2979.75,189.66,354.91,22.59,0,0,0,0
31-03,263.9,16.69,18.9659,2725.36,172.36,357.19,22.59,0,0,0,0
31-04,240.14,15.09,19.1013,2406.04,151.19,359.5,22.59,0,0,0,0
31-05,209.91,13.02,16.481,2071.03,128.46,364.2,22.59,0,0,0,0
31-06,242.25,14.83,18.7722,2453.19,150.18,369.01,22.59,0,0,0,0
31-07,224.28,13.73,19.6143,2211.6,135.39,369.01,22.59,0,0,0,0
08-03,1527.72,1322.7,21.9026,14163.64,12262.89,1118.54,968.43,117.28,101.54,47.79,0
62-11,505.18,62.26,16.9646,5268.42,649.3,286.51,35.31,24.1,2.97,0,0
88-06,571.62,273.5,12.6211,4476.17,2141.71,942.34,450.88,31.77,15.2,182.70999999999998,0
27-12,0,0,15.9099,2861.58,200.7,295.85,20.75,0,0,0,0
47-12,161.28,15.3,9.5031,1909.61,181.16,368.94,35.0,21.82,2.07,0,0
85-11,457.51,202.17,13.8378,3331.43,1472.13,735.93,325.2,69.72,30.81,0,0
47-10,165.47,15.43,9.5839,1949.73,181.81,375.34,35.0,20.05,1.87,0,0
47-11,160.06,14.99,9.3106,1915.63,179.4,373.73,35.0,22.1,2.07,0,0
26-05,0,0,0,1987.51,143.43,287.12,20.72,0,0,0,0
83-09,406.71,166.07,12.4865,3019.94,1233.13,1006.98,411.18,76.19,31.11,0,0
83-08,404.75,164.4,12.3609,2994.19,1216.16,1025.03,416.34,78.56,31.91,0,0
95-02,796.88,487.39,14.9736,6558.07,4011.05,615.79,376.63,30.28,18.52,141.34,0
39-12,220.06,12.49,13.8778,2647.08,150.24,611.2,34.69,0,0,0,0
39-11,214.95,12.2,13.5556,2566.91,145.69,611.2,34.69,0,0,0,0
39-10,226.05,12.83,14.2556,2675.97,151.88,611.2,34.69,0,0,0,0
83-01,366.45,145.3,11.6989,2712.92,1075.7,1217.52,482.76,78.66,31.19,0,0
91-07,702.32,387.81,21.7626,5477.95,3024.82,665.67,367.57,39.3,21.7,156.91,0
83-03,385.46,152.96,12.3156,2847.68,1130.03,1058.25,419.94,72.63,28.82,0,0
83-02,373.11,148.06,11.9211,2803.8,1112.62,1231.65,488.75,72.95,28.95,0,0
81-10,321.91,121.89,7.9355,2251.58,852.55,1155.7,437.6,92.44,35.0,0,0
81-11,332.55,126.35,8.2259,2339.8,888.98,1086.25,412.71,94.75,36.0,0,0
81-12,321.57,122.55,7.9785,2296.0,875.0,1076.63,410.3,91.84,35.0,0,0
83-06,415.58,167.64,13.3153,3029.24,1221.96,1023.78,412.98,76.85,31.0,0,0
62-10,458.6,56.52,15.4005,4785.39,589.77,286.51,35.31,24.1,2.97,0,0
26-10,0,0,0,2112.9,150.76,290.39,20.72,0,0,0,0
40-04,214.78,12.19,11.7212,2615.19,148.43,600.1,34.06,0,0,0,0
40-05,163.33,9.27,8.9135,2047.68,116.22,600.1,34.06,0,0,0,0
40-06,174.59,9.98,9.5962,2131.99,121.87,595.85,34.06,0,0,0,0
40-07,181.3,10.29,9.5278,2222.46,126.14,600.1,34.06,0,0,0,0
40-01,213.84,12.05,12.1717,2579.03,145.33,604.43,34.06,0,0,0,0
52-09,226.7,24.54,10.3983,2499.9,270.61,320.47,34.69,23.74,2.57,0,0
40-03,215.83,12.25,12.3737,2606.73,147.95,600.1,34.06,0,0,0,0
52-07,234.65,25.4,10.7627,2582.58,279.56,320.47,34.69,23.74,2.57,0,0
52-06,232.33,24.96,10.6667,2552.81,274.26,322.89,34.69,23.92,2.57,0,0
52-05,222.92,23.86,10.1966,2456.65,262.94,324.11,34.69,24.01,2.57,0,0
52-04,217.88,23.32,9.9658,2407.04,257.63,324.11,34.69,24.01,2.57,0,0
40-08,186.06,10.56,9.7778,2280.25,129.42,600.1,34.06,0,0,0,0
52-02,218.16,23.26,9.6917,2439.29,260.08,325.36,34.69,24.1,2.57,0,0
52-01,224.7,24.14,10.0583,2519.58,270.69,322.89,34.69,23.92,2.57,0,0
